SAMPLEID,PLOTID,geometry,centroid,long,lat
378233307,378233307,"POLYGON ((33.85609494288523 -12.466255529865114, 33.85609494288523 -12.465355816179871, 33.85701050575754 -12.465355816179871, 33.85701050575754 -12.466255529865114, 33.85609494288523 -12.466255529865114))",POINT (33.85655272432139 -12.465805660945705),33.85655272432139,-12.465805660945705
378298916,378298916,"POLYGON ((33.88184462797269 -12.496134595855859, 33.88184462797269 -12.495234882170617, 33.88276029653208 -12.495234882170617, 33.88276029653208 -12.496134595855859, 33.88184462797269 -12.496134595855859))",POINT (33.88230246225239 -12.495684726917386),33.88230246225239,-12.495684726917386
378417018,378417018,"POLYGON ((33.94262657072912 -12.507845013255984, 33.94262657072912 -12.506945299570743, 33.94354228078474 -12.506945299570743, 33.94354228078474 -12.507845013255984, 33.94262657072912 -12.507845013255984))",POINT (33.94308442575693 -12.507395144310061),33.94308442575693,-12.507395144310061
378436704,378436704,"POLYGON ((33.96008078120317 -12.488467509604478, 33.96008078120317 -12.487567795919235, 33.960996422616766 -12.487567795919235, 33.960996422616766 -12.488467509604478, 33.96008078120317 -12.488467509604478))",POINT (33.960538601909974 -12.488017640670904),33.960538601909974,-12.488017640670904
379328971,379328971,"POLYGON ((34.23070004734874 -13.12212899729992, 34.23070004734874 -13.121229283614698, 34.231617993272764 -13.121229283614698, 34.231617993272764 -13.12212899729992, 34.23070004734874 -13.12212899729992))",POINT (34.23115902031075 -13.121679127976828),34.23115902031075,-13.121679127976828
378790959,378790959,"POLYGON ((33.98132461671379 -12.99032755274572, 33.98132461671379 -12.98942783906049, 33.98224207309757 -12.98942783906049, 33.98224207309757 -12.99032755274572, 33.98132461671379 -12.99032755274572))",POINT (33.98178334490567 -12.989877683501277),33.98178334490567,-12.989877683501277
378607288,378607288,"POLYGON ((34.0213058408681 -12.582571375917594, 34.0213058408681 -12.581671662232356, 34.0222218167088 -12.581671662232356, 34.0222218167088 -12.582571375917594, 34.0213058408681 -12.582571375917594))",POINT (34.02176382878845 -12.582121506924372),34.02176382878845,-12.582121506924372
378430129,378430129,"POLYGON ((33.91128052854291 -12.619871838355463, 33.91128052854291 -12.618972124670224, 33.91219663769397 -12.618972124670224, 33.91219663769397 -12.619871838355463, 33.91128052854291 -12.619871838355463))",POINT (33.911738583118435 -12.619421969338747),33.911738583118435,-12.619421969338747
378154531,378154531,"POLYGON ((33.68537883482991 -12.83631601318731, 33.68537883482991 -12.835416299502079, 33.6862957259848 -12.835416299502079, 33.6862957259848 -12.83631601318731, 33.68537883482991 -12.83631601318731))",POINT (33.68583728040735 -12.83586614403635),33.68583728040735,-12.83586614403635
378213577,378213577,"POLYGON ((33.6999372038949 -12.887985718366151, 33.6999372038949 -12.887086004680919, 33.70085428386359 -12.887086004680919, 33.70085428386359 -12.887985718366151, 33.6999372038949 -12.887985718366151))",POINT (33.70039574387924 -12.887535849183637),33.70039574387924,-12.887535849183637
